time,chl_water,chl,time_elapsed,obsscheme,lograd,temp
2017-04-07,,7.345553398132324,41.26488706365503,obs2,5.317234525680242,9.4
2017-04-08,,5.60993242263794,41.26762491444217,obs2,5.227586875162545,9.2
2017-04-09,,15.310994148254395,41.270362765229294,obs2,5.4706548342029695,11.7
2017-04-10,,20.985361099243164,41.27310061601643,obs2,5.283156726317356,9.0
2017-04-11,21.0,9.090824127197266,41.27583846680356,obs3,5.3659976485711605,9.5
2017-04-12,,8.81915283203125,41.27857631759069,obs2,4.370092276754826,9.2
2017-04-13,,26.60413932800293,41.281314168377826,obs2,5.376221035972824,8.7
2017-04-14,,13.24949836730957,41.28405201916495,obs2,4.834774304305245,9.7
2017-04-15,,31.791954040527344,41.286789869952095,obs2,5.205607968443769,8.8
2017-04-16,,24.991840362548828,41.289527720739216,obs2,5.393206582338568,8.5
2017-04-17,,33.84596633911133,41.29226557152635,obs2,5.467728002845325,7.0
2017-04-18,,23.57204246520996,41.29500342231349,obs2,5.464792579993881,6.6
2017-04-19,,11.13725757598877,41.29774127310061,obs2,5.248484992800161,5.7
2017-04-20,,3.103565454483032,41.30047912388775,obs2,5.286675791532551,7.1
2017-04-21,,3.0482068061828613,41.30321697467488,obs2,4.660333297779004,10.0
2017-04-22,,6.816012382507324,41.30595482546201,obs2,5.420207184157073,7.6
2017-04-23,,32.65246963500977,41.30869267624913,obs2,5.347438163882987,8.0
2017-04-24,,32.98987579345703,41.31143052703628,obs2,4.760312437537645,8.8
2017-04-25,20.0,47.65637969970703,41.31416837782341,obs3,5.45889575700985,5.9
2017-04-26,,26.97818374633789,41.31690622861054,obs2,5.380494546750206,6.3
2017-04-27,,24.3127384185791,41.319644079397676,obs2,5.255153704995199,6.7
2017-04-28,,23.06745529174805,41.3223819301848,obs2,5.476482922579169,7.9
2017-04-29,,24.364990234375,41.32511978097194,obs2,5.4966178309882245,8.6
2017-04-30,,21.501516342163086,41.32785763175906,obs2,5.612130718110069,12.2
